# Time (s),Altitude (m),Position East of launch (m),Position North of launch (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Lateral velocity (m/s),Lateral acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s)
35.507,8691.877,1042.271,-1062.695,29.924,-9.852,32.56,0.108,0.02,1.111e-7,0.01,-0.011
35.557,8693.361,1043.402,-1063.866,29.432,-9.841,32.554,0.114,0.172,1.111e-7,0.015,-7.958e-4
35.607,8694.82,1044.532,-1065.037,28.94,-9.84,32.549,0.112,0.172,1.111e-7,0.015,-0.001
35.657,8696.255,1045.663,-1066.208,28.448,-9.816,32.543,0.131,0.63,1.111e-7,0.015,8.976e-5
35.707,8697.665,1046.793,-1067.378,27.958,-9.799,32.536,0.143,0.917,1.111e-7,0.015,1.592e-4
35.757,8699.051,1047.923,-1068.548,27.468,-9.798,32.529,0.139,0.917,1.111e-7,0.016,1.592e-4
35.807,8700.412,1049.052,-1069.718,26.979,-9.783,32.521,0.149,1.203,1.111e-7,0.016,3.183e-4
35.857,8701.749,1050.182,-1070.887,26.49,-9.764,32.514,0.163,1.547,1.111e-7,0.016,3.183e-4
35.907,8703.061,1051.311,-1072.057,26.003,-9.734,32.505,0.186,2.063,1.111e-7,0.017,3.183e-4
35.957,8704.349,1052.439,-1073.226,25.516,-9.728,32.496,0.188,2.177,1.111e-7,0.018,3.183e-4
36.007,8705.613,1053.568,-1074.394,25.03,-9.718,32.486,0.193,2.349,1.111e-7,0.018,3.183e-4
36.057,8706.852,1054.696,-1075.563,24.544,-9.698,32.476,0.206,2.693,1.111e-7,0.019,3.183e-4
36.107,8708.067,1055.824,-1076.731,24.06,-9.695,32.466,0.205,2.75,1.111e-7,0.02,3.183e-4
36.157,8709.258,1056.951,-1077.898,23.575,-9.689,32.456,0.206,2.865,1.111e-7,0.021,3.183e-4
36.207,8710.425,1058.078,-1079.066,23.091,-9.674,32.445,0.214,3.094,1.111e-7,0.022,4.775e-4
